name,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,logCPM,PValue,PAdj_hoc,FDR,falsePos,WT_rep1,WT_rep2,SMC4KD_rep1,SMC4KD_rep2
PBANKA_0601200,7259.55,9710.25,4808.85,0.495286705527121,-1.01366419817812,7.89748189229683,0.000529223310922069,1,0.0376721789576205,2.63705252703344,8883.5,10537,5229.7,4388
PBANKA_MIT01700,148.15,76.75,219.55,2.85551448693087,1.51375070386245,2.31326978794425,0.000537507038765939,1,0.0376721789576205,2.67472470599106,76.8,76.7,150.3,288.8
PBANKA_0722000,2732.775,3600.85,1864.7,0.51799736027528,-0.94898334895906,6.48813831587823,0.000546422647934114,1,0.0376721789576205,2.71239688494868,3232.9,3968.8,1845.1,1884.3
PBANKA_1303900,27289.1,36353.7,18224.5,0.501312194423828,-0.99621876676988,9.80779909732058,0.000554256013933216,1,0.0376721789576205,2.7500690639063,36911.4,35796,19182,17267
PBANKA_1439200,17075.225,23208.6,10941.85,0.47146604643766,-1.08477421879045,9.13140231613137,0.000559450379864322,1,0.0376721789576205,2.78774124286392,23217.8,23199.4,13365.8,8517.9
PBANKA_0107600,1154.575,1545.95,763.2,0.49379432461893,-1.01801783979828,5.24566471996117,0.000596825874865775,1,0.0396531111260821,2.97398333445616,1458.7,1633.2,686.9,839.5
PBANKA_1146261,318.925,461.4,176.45,0.382011812000188,-1.38831084706971,3.39613202160387,0.000649705262109339,1,0.0425984384354057,3.23748132109084,564,358.8,216.4,136.5
PBANKA_1320200,11479.225,15250.9,7707.55,0.505414870909879,-0.984459981312416,8.55851314427058,0.000670802682309794,1,0.0427802602021477,3.29408003556537,13793.9,16707.9,7919.7,7495.4
PBANKA_1212000,2537.925,3316.75,1759.1,0.530440693251104,-0.914736637499473,6.3816150084234,0.000675559165900562,1,0.0427802602021477,3.33686029576752,3192.2,3441.3,1759.3,1758.9
PBANKA_1228300,12790,17058.9,8521.1,0.499484700534805,-1.00148760666067,8.71460297984469,0.000678234107158272,1,0.0427802602021477,3.37964055596967,19305.3,14812.5,8477,8565.2
PBANKA_0705600,39548.175,52930.65,26165.7,0.494339850964421,-1.01642488156908,10.3430753695478,0.000767069282208543,1,0.0477788279155646,3.82230623324517,55099.5,50761.8,29807.1,22524.3
PBANKA_0917500,5084.675,6885.8,3283.55,0.476784985898286,-1.06858928927004,7.38417118073374,0.000780635649753395,1,0.04802354867557,3.88990744272117,8402.7,5368.9,3726.3,2840.8
PBANKA_0904700,5144.25,3379.9,6908.6,2.04400705973029,1.03140017916217,7.40130056998899,0.000809596435596699,1,0.048189478453378,3.951537233177,3312.4,3447.4,5378.3,8438.9
PBANKA_0704500,4465.2,5906.95,3023.45,0.511923152960329,-0.966000837716734,7.19635257872378,0.000817282300851066,1,0.048189478453378,3.99972671163038,5205.9,6608,2738.9,3308
PBANKA_0902300,3545.9,4621.2,2470.6,0.534647310448674,-0.90334058890064,6.8640055830696,0.000824883484662388,1,0.048189478453378,4.04791619008375,4514.5,4727.9,2393.8,2547.4
PBANKA_0409400,14115.575,18776.2,9454.95,0.503550592500437,-0.989791359589409,8.85684672269418,0.000827848923858744,1,0.048189478453378,4.09610566853713,20470.3,17082.1,10511.8,8398.1
PBANKA_1245500,1951.975,2562.3,1341.65,0.523531301859855,-0.933652296627304,6.00319031395043,0.000840759234514386,1,0.048189478453378,4.14429514699051,2626.5,2498.1,1145.4,1537.9
PBANKA_0612900,6068.925,4028.35,8109.5,2.01311902355685,1.00943247261638,7.63964642619518,0.000841357540727251,1,0.048189478453378,4.19248462544389,3956,4100.7,6570,9649
PBANKA_0513500,1131.575,762.65,1500.5,1.96769350486275,0.976505518720603,5.2196245194322,0.000885742812656804,1,0.0501551867666915,4.41365643546885,744.7,780.6,1371.2,1629.8
